,Real GDP
1960-10-01 00:00:00,3232.009
1961-01-01 00:00:00,3253.826
1961-04-01 00:00:00,3309.059
1961-07-01 00:00:00,3372.581
1961-10-01 00:00:00,3438.721
1962-01-01 00:00:00,3500.054
1962-04-01 00:00:00,3531.683
1962-07-01 00:00:00,3575.07
1962-10-01 00:00:00,3586.827
1963-01-01 00:00:00,3625.981
1963-04-01 00:00:00,3666.669
1963-07-01 00:00:00,3747.278
1963-10-01 00:00:00,3771.845
1964-01-01 00:00:00,3851.366
1964-04-01 00:00:00,3893.296
1964-07-01 00:00:00,3954.121
1964-10-01 00:00:00,3966.335
1965-01-01 00:00:00,4062.311
1965-04-01 00:00:00,4113.629
1965-07-01 00:00:00,4205.086
1965-10-01 00:00:00,4301.973
1966-01-01 00:00:00,4406.693
1966-04-01 00:00:00,4421.747
1966-07-01 00:00:00,4459.195
1966-10-01 00:00:00,4495.777
1967-01-01 00:00:00,4535.591
1967-04-01 00:00:00,4538.37
1967-07-01 00:00:00,4581.309
1967-10-01 00:00:00,4615.853
1968-01-01 00:00:00,4709.993
1968-04-01 00:00:00,4788.688
1968-07-01 00:00:00,4825.799
1968-10-01 00:00:00,4844.779
1969-01-01 00:00:00,4920.605
1969-04-01 00:00:00,4935.564
1969-07-01 00:00:00,4968.164
1969-10-01 00:00:00,4943.935
1970-01-01 00:00:00,4936.594
1970-04-01 00:00:00,4943.6
1970-07-01 00:00:00,4989.159
1970-10-01 00:00:00,4935.693
1971-01-01 00:00:00,5069.746
1971-04-01 00:00:00,5097.179
1971-07-01 00:00:00,5139.128
1971-10-01 00:00:00,5151.245
1972-01-01 00:00:00,5245.974
1972-04-01 00:00:00,5365.045
1972-07-01 00:00:00,5415.712
1972-10-01 00:00:00,5506.396
1973-01-01 00:00:00,5642.669
1973-04-01 00:00:00,5704.098
1973-07-01 00:00:00,5674.1
1973-10-01 00:00:00,5727.96
1974-01-01 00:00:00,5678.713
1974-04-01 00:00:00,5692.21
1974-07-01 00:00:00,5638.411
1974-10-01 00:00:00,5616.526
1975-01-01 00:00:00,5548.156
1975-04-01 00:00:00,5587.8
1975-07-01 00:00:00,5683.444
1975-10-01 00:00:00,5759.972
1976-01-01 00:00:00,5889.5
1976-04-01 00:00:00,5932.711
1976-07-01 00:00:00,5965.265
1976-10-01 00:00:00,6008.504
1977-01-01 00:00:00,6079.494
1977-04-01 00:00:00,6197.686
1977-07-01 00:00:00,6309.514
1977-10-01 00:00:00,6309.652
1978-01-01 00:00:00,6329.791
1978-04-01 00:00:00,6574.39
1978-07-01 00:00:00,6640.497
1978-10-01 00:00:00,6729.755
1979-01-01 00:00:00,6741.854
1979-04-01 00:00:00,6749.063
1979-07-01 00:00:00,6799.2
1979-10-01 00:00:00,6816.203
1980-01-01 00:00:00,6837.641
1980-04-01 00:00:00,6696.753
1980-07-01 00:00:00,6688.794
1980-10-01 00:00:00,6813.535
1981-01-01 00:00:00,6947.042
1981-04-01 00:00:00,6895.559
1981-07-01 00:00:00,6978.135
1981-10-01 00:00:00,6902.105
1982-01-01 00:00:00,6794.878
1982-04-01 00:00:00,6825.876
1982-07-01 00:00:00,6799.781
1982-10-01 00:00:00,6802.497
1983-01-01 00:00:00,6892.144
1983-04-01 00:00:00,7048.982
1983-07-01 00:00:00,7189.896
1983-10-01 00:00:00,7339.893
1984-01-01 00:00:00,7483.371
1984-04-01 00:00:00,7612.668
1984-07-01 00:00:00,7686.059
1984-10-01 00:00:00,7749.151
1985-01-01 00:00:00,7824.247
1985-04-01 00:00:00,7893.136
1985-07-01 00:00:00,8013.674
1985-10-01 00:00:00,8073.239
1986-01-01 00:00:00,8148.603
1986-04-01 00:00:00,8185.303
1986-07-01 00:00:00,8263.639
1986-10-01 00:00:00,8308.021
1987-01-01 00:00:00,8369.93
1987-04-01 00:00:00,8460.233
1987-07-01 00:00:00,8533.635
1987-10-01 00:00:00,8680.162
1988-01-01 00:00:00,8725.006
1988-04-01 00:00:00,8839.641
1988-07-01 00:00:00,8891.435
1988-10-01 00:00:00,9009.913
1989-01-01 00:00:00,9101.508
1989-04-01 00:00:00,9170.977
1989-07-01 00:00:00,9238.923
1989-10-01 00:00:00,9257.128
1990-01-01 00:00:00,9358.289
1990-04-01 00:00:00,9392.251
1990-07-01 00:00:00,9398.499
1990-10-01 00:00:00,9312.937
1991-01-01 00:00:00,9269.367
1991-04-01 00:00:00,9341.642
1991-07-01 00:00:00,9388.845
1991-10-01 00:00:00,9421.565
1992-01-01 00:00:00,9534.346
1992-04-01 00:00:00,9637.732
1992-07-01 00:00:00,9732.979
1992-10-01 00:00:00,9834.51
1993-01-01 00:00:00,9850.973
1993-04-01 00:00:00,9908.347
1993-07-01 00:00:00,9955.641
1993-10-01 00:00:00,10091.049
1994-01-01 00:00:00,10188.954
1994-04-01 00:00:00,10327.019
1994-07-01 00:00:00,10387.382
1994-10-01 00:00:00,10506.372
1995-01-01 00:00:00,10543.644
1995-04-01 00:00:00,10575.1
1995-07-01 00:00:00,10665.06
1995-10-01 00:00:00,10737.478
1996-01-01 00:00:00,10817.896
1996-04-01 00:00:00,10998.322
1996-07-01 00:00:00,11096.976
1996-10-01 00:00:00,11212.205
1997-01-01 00:00:00,11284.587
1997-04-01 00:00:00,11472.137
1997-07-01 00:00:00,11615.636
1997-10-01 00:00:00,11715.393
1998-01-01 00:00:00,11832.486
1998-04-01 00:00:00,11942.032
1998-07-01 00:00:00,12091.614
1998-10-01 00:00:00,12287
1999-01-01 00:00:00,12403.293
1999-04-01 00:00:00,12498.694
1999-07-01 00:00:00,12662.385
1999-10-01 00:00:00,12877.593
2000-01-01 00:00:00,12924.179
2000-04-01 00:00:00,13160.842
2000-07-01 00:00:00,13178.419
2000-10-01 00:00:00,13260.506
2001-01-01 00:00:00,13222.69
2001-04-01 00:00:00,13299.984
2001-07-01 00:00:00,13244.784
2001-10-01 00:00:00,13280.859
2002-01-01 00:00:00,13397.002
2002-04-01 00:00:00,13478.152
2002-07-01 00:00:00,13538.072
2002-10-01 00:00:00,13559.032
2003-01-01 00:00:00,13634.253
2003-04-01 00:00:00,13751.543
2003-07-01 00:00:00,13985.073
2003-10-01 00:00:00,14145.645
2004-01-01 00:00:00,14221.147
2004-04-01 00:00:00,14329.523
2004-07-01 00:00:00,14464.984
2004-10-01 00:00:00,14609.876
2005-01-01 00:00:00,14771.602
2005-04-01 00:00:00,14839.782
2005-07-01 00:00:00,14972.054
2005-10-01 00:00:00,15066.597
2006-01-01 00:00:00,15267.026
2006-04-01 00:00:00,15302.705
2006-07-01 00:00:00,15326.368
2006-10-01 00:00:00,15456.928
2007-01-01 00:00:00,15493.328
2007-04-01 00:00:00,15582.085
2007-07-01 00:00:00,15666.738
2007-10-01 00:00:00,15761.967
2008-01-01 00:00:00,15671.383
2008-04-01 00:00:00,15752.308
2008-07-01 00:00:00,15667.032
2008-10-01 00:00:00,15328.027
2009-01-01 00:00:00,15155.94
2009-04-01 00:00:00,15134.117
2009-07-01 00:00:00,15189.222
2009-10-01 00:00:00,15356.058
2010-01-01 00:00:00,15415.145
2010-04-01 00:00:00,15557.277
2010-07-01 00:00:00,15671.967
2010-10-01 00:00:00,15750.625
2011-01-01 00:00:00,15712.754
2011-04-01 00:00:00,15825.096
2011-07-01 00:00:00,15820.7
2011-10-01 00:00:00,16004.107
2012-01-01 00:00:00,16129.418
2012-04-01 00:00:00,16198.807
2012-07-01 00:00:00,16220.667
2012-10-01 00:00:00,16239.138
2013-01-01 00:00:00,16382.964
2013-04-01 00:00:00,16403.18
2013-07-01 00:00:00,16531.685
2013-10-01 00:00:00,16663.649
2014-01-01 00:00:00,16616.54
2014-04-01 00:00:00,16841.475
2014-07-01 00:00:00,17047.098
2014-10-01 00:00:00,17143.038
2015-01-01 00:00:00,17277.58
2015-04-01 00:00:00,17405.669
2015-07-01 00:00:00,17463.222
2015-10-01 00:00:00,17468.902
2016-01-01 00:00:00,17556.839
2016-04-01 00:00:00,17639.417
2016-07-01 00:00:00,17735.074
2016-10-01 00:00:00,17824.231
2017-01-01 00:00:00,17925.256
2017-04-01 00:00:00,18021.048
2017-07-01 00:00:00,18163.558
2017-10-01 00:00:00,18322.464
2018-01-01 00:00:00,18438.254
2018-04-01 00:00:00,18598.135
2018-07-01 00:00:00,18732.72
2018-10-01 00:00:00,18783.548
2019-01-01 00:00:00,18927.281
2019-04-01 00:00:00,19021.86
2019-07-01 00:00:00,19121.112
2019-10-01 00:00:00,19221.97
2020-01-01 00:00:00,18977.363
